"Time","Current"
0.000,0.0105
0.005,0.0111
0.010,0.0108
0.015,0.0114
0.020,0.0114
0.025,0.0108
0.030,0.0111
0.035,0.0108
0.040,0.0108
0.045,0.0114
0.050,0.0111
0.055,0.0102
0.060,0.0102
0.065,0.0102
0.070,0.0102
0.075,0.0102
0.080,0.0105
0.085,0.0111
0.090,0.0105
0.095,0.0105
0.100,0.0108
0.105,0.0102
0.110,0.0102
0.115,0.0108
0.120,0.0102
0.125,0.0105
0.130,0.0102
0.135,0.0102
0.140,0.0111
0.145,0.0102
0.150,0.0105
0.155,0.0105
0.160,0.0105
0.165,0.0102
0.170,0.0105
0.175,0.0108
0.180,0.0105
0.185,0.0105
0.190,0.0108
0.195,0.0111
0.200,0.0111
0.205,0.0102
0.210,0.0105
0.215,0.0102
0.220,0.0108
0.225,0.0108
0.230,0.0102
0.235,0.0102
0.240,0.0105
0.245,0.0102
0.250,0.0099
0.255,0.0102
0.260,0.0099
0.265,0.0102
0.270,0.0102
0.275,0.0102
0.280,0.0102
0.285,0.0102
0.290,0.0102
0.295,0.0102
0.300,0.0102
0.305,0.0099
0.310,0.0102
0.315,0.0111
0.320,0.0102
0.325,0.0102
0.330,0.0099
0.335,0.0102
0.340,0.0105
0.345,0.0105
0.350,0.0102
0.355,0.0105
0.360,0.0111
0.365,0.0105
0.370,0.0105
0.375,0.0111
0.380,0.0111
0.385,0.0111
0.390,0.0111
0.395,0.0114
0.400,0.0114
0.405,0.0111
0.410,0.0114
0.415,0.0120
0.420,0.0120
0.425,0.0123
0.430,0.0120
0.435,0.0120
0.440,0.0123
0.445,0.0120
0.450,0.0132
0.455,0.0135
0.460,0.0132
0.465,0.0129
0.470,0.0129
0.475,0.0135
0.480,0.0132
0.485,0.0135
0.490,0.0138
0.495,0.0141
0.500,0.0141
0.505,0.0141
0.510,0.0138
0.515,0.0138
0.520,0.0144
0.525,0.0141
0.530,0.0144
0.535,0.0147
0.540,0.0147
0.545,0.0150
0.550,0.0144
0.555,0.0144
0.560,0.0147
0.565,0.0150
0.570,0.0150
0.575,0.0150
0.580,0.0147
0.585,0.0150
0.590,0.0150
0.595,0.0141
0.600,0.0144
0.605,0.0147
0.610,0.0147
0.615,0.0147
0.620,0.0150
0.625,0.0153
0.630,0.0150
0.635,0.0150
0.640,0.0153
0.645,0.0159
0.650,0.0162
0.655,0.0165
0.660,0.0162
0.665,0.0165
0.670,0.0168
0.675,0.0174
0.680,0.0174
0.685,0.0183
0.690,0.0183
0.695,0.0186
0.700,0.0186
0.705,0.0189
0.710,0.0192
0.715,0.0192
0.720,0.0198
0.725,0.0211
0.730,0.0208
0.735,0.0211
0.740,0.0216
0.745,0.0216
0.750,0.0216
0.755,0.0226
0.760,0.0220
0.765,0.0229
0.770,0.0232
