"Time","Current"
0.000,0.0192
0.005,0.0198
0.010,0.0192
0.015,0.0198
0.020,0.0198
0.025,0.0192
0.030,0.0192
0.035,0.0198
0.040,0.0192
0.045,0.0196
0.050,0.0186
0.055,0.0189
0.060,0.0192
0.065,0.0189
0.070,0.0189
0.075,0.0189
0.080,0.0186
0.085,0.0189
0.090,0.0186
0.095,0.0183
0.100,0.0186
0.105,0.0186
0.110,0.0186
0.115,0.0189
0.120,0.0189
0.125,0.0189
0.130,0.0186
0.135,0.0192
0.140,0.0192
0.145,0.0189
0.150,0.0196
0.155,0.0192
0.160,0.0189
0.165,0.0196
0.170,0.0189
0.175,0.0192
0.180,0.0192
0.185,0.0189
0.190,0.0192
0.195,0.0189
0.200,0.0189
0.205,0.0198
0.210,0.0189
0.215,0.0192
0.220,0.0196
0.225,0.0189
0.230,0.0189
0.235,0.0192
0.240,0.0192
0.245,0.0192
0.250,0.0189
0.255,0.0189
0.260,0.0186
0.265,0.0186
0.270,0.0186
0.275,0.0183
0.280,0.0180
0.285,0.0186
0.290,0.0180
0.295,0.0180
0.300,0.0174
0.305,0.0177
0.310,0.0174
0.315,0.0180
0.320,0.0174
0.325,0.0177
0.330,0.0174
0.335,0.0177
0.340,0.0171
0.345,0.0177
0.350,0.0177
0.355,0.0174
0.360,0.0177
0.365,0.0174
0.370,0.0171
0.375,0.0177
0.380,0.0174
0.385,0.0171
0.390,0.0171
0.395,0.0168
0.400,0.0171
0.405,0.0177
0.410,0.0168
0.415,0.0168
0.420,0.0165
0.425,0.0165
0.430,0.0168
0.435,0.0168
0.440,0.0165
0.445,0.0168
0.450,0.0162
0.455,0.0165
0.460,0.0165
0.465,0.0171
0.470,0.0165
0.475,0.0168
0.480,0.0165
0.485,0.0171
0.490,0.0174
0.495,0.0168
0.500,0.0168
0.505,0.0171
0.510,0.0165
0.515,0.0168
0.520,0.0168
0.525,0.0174
0.530,0.0171
0.535,0.0168
0.540,0.0165
0.545,0.0174
0.550,0.0177
0.555,0.0171
0.560,0.0177
0.565,0.0177
0.570,0.0174
0.575,0.0174
0.580,0.0177
0.585,0.0177
0.590,0.0174
0.595,0.0177
0.600,0.0183
0.605,0.0186
0.610,0.0177
0.615,0.0186
0.620,0.0186
0.625,0.0186
0.630,0.0189
0.635,0.0189
0.640,0.0189
0.645,0.0189
0.650,0.0189
0.655,0.0192
0.660,0.0196
0.665,0.0198
0.670,0.0196
0.675,0.0198
0.680,0.0198
0.685,0.0201
0.690,0.0198
0.695,0.0198
0.700,0.0198
0.705,0.0201
0.710,0.0201
0.715,0.0204
0.720,0.0201
0.725,0.0201
0.730,0.0201
0.735,0.0204
0.740,0.0201
0.745,0.0211
0.750,0.0211
0.755,0.0208
0.760,0.0204
0.765,0.0208
0.770,0.0208
0.775,0.0211
0.780,0.0211
0.785,0.0213
0.790,0.0213
0.795,0.0211
0.800,0.0213
0.805,0.0211
0.810,0.0213
0.815,0.0208
0.820,0.0208
0.825,0.0213
0.830,0.0211
0.835,0.0211
0.840,0.0211
0.845,0.0213
0.850,0.0211
0.855,0.0208
0.860,0.0211
0.865,0.0216
0.870,0.0208
0.875,0.0213
0.880,0.0213
0.885,0.0213
0.890,0.0208
0.895,0.0213
0.900,0.0211
0.905,0.0213
0.910,0.0211
0.915,0.0208
0.920,0.0208
0.925,0.0208
0.930,0.0201
0.935,0.0211
0.940,0.0198
0.945,0.0201
0.950,0.0198
0.955,0.0198
0.960,0.0198
0.965,0.0201
0.970,0.0192
0.975,0.0196
0.980,0.0189
0.985,0.0198
0.990,0.0186
0.995,0.0189
1.000,0.0189
1.005,0.0189
1.010,0.0183
1.015,0.0186
1.020,0.0183
1.025,0.0189
1.030,0.0174
1.035,0.0174
1.040,0.0177
1.045,0.0174
1.050,0.0174
1.055,0.0177
1.060,0.0174
1.065,0.0177
1.070,0.0168
1.075,0.0168
1.080,0.0177
1.085,0.0171
1.090,0.0168
1.095,0.0174
1.100,0.0171
1.105,0.0174
1.110,0.0168
1.115,0.0171
1.120,0.0168
1.125,0.0174
1.130,0.0168
1.135,0.0168
1.140,0.0174
1.145,0.0177
1.150,0.0165
1.155,0.0174
1.160,0.0165
1.165,0.0171
1.170,0.0171
1.175,0.0168
1.180,0.0168
1.185,0.0168
1.190,0.0165
1.195,0.0165
1.200,0.0162
1.205,0.0171
1.210,0.0168
1.215,0.0165
1.220,0.0165
1.225,0.0174
1.230,0.0165
1.235,0.0162
1.240,0.0165
1.245,0.0171
1.250,0.0165
1.255,0.0168
1.260,0.0165
1.265,0.0171
1.270,0.0162
1.275,0.0162
1.280,0.0162
1.285,0.0174
1.290,0.0165
1.295,0.0168
1.300,0.0174
1.305,0.0177
1.310,0.0168
1.315,0.0171
1.320,0.0171
1.325,0.0177
1.330,0.0180
1.335,0.0177
1.340,0.0177
1.345,0.0189
1.350,0.0177
1.355,0.0186
1.360,0.0186
1.365,0.0192
1.370,0.0189
1.375,0.0189
1.380,0.0196
1.385,0.0198
1.390,0.0192
1.395,0.0196
1.400,0.0192
1.405,0.0208
1.410,0.0198
1.415,0.0198
1.420,0.0198
1.425,0.0208
1.430,0.0201
1.435,0.0198
1.440,0.0208
1.445,0.0213
1.450,0.0213
1.455,0.0213
1.460,0.0213
1.465,0.0216
1.470,0.0211
1.475,0.0211
1.480,0.0204
1.485,0.0208
1.490,0.0201
1.495,0.0208
1.500,0.0211
1.505,0.0216
1.510,0.0213
1.515,0.0211
1.520,0.0208
1.525,0.0213
1.530,0.0201
1.535,0.0198
1.540,0.0192
