"Time","Current"
0.000,0.0690
0.005,0.0705
0.010,0.0693
0.015,0.0690
0.020,0.0684
0.025,0.0693
0.030,0.0684
0.035,0.0684
0.040,0.0681
0.045,0.0693
0.050,0.0684
0.055,0.0681
0.060,0.0681
0.065,0.0687
0.070,0.0684
0.075,0.0681
0.080,0.0678
0.085,0.0684
0.090,0.0675
0.095,0.0675
0.100,0.0672
0.105,0.0681
0.110,0.0672
0.115,0.0669
0.120,0.0666
0.125,0.0666
0.130,0.0654
0.135,0.0657
0.140,0.0651
0.145,0.0657
0.150,0.0645
0.155,0.0645
0.160,0.0639
0.165,0.0648
0.170,0.0636
0.175,0.0632
0.180,0.0630
0.185,0.0630
0.190,0.0627
0.195,0.0624
0.200,0.0624
0.205,0.0632
0.210,0.0630
0.215,0.0627
0.220,0.0627
0.225,0.0632
0.230,0.0632
0.235,0.0627
0.240,0.0627
0.245,0.0632
0.250,0.0627
0.255,0.0627
0.260,0.0624
0.265,0.0630
0.270,0.0627
0.275,0.0627
0.280,0.0632
0.285,0.0639
0.290,0.0632
0.295,0.0636
0.300,0.0642
0.305,0.0651
0.310,0.0645
0.315,0.0648
0.320,0.0645
0.325,0.0660
0.330,0.0657
0.335,0.0660
0.340,0.0666
0.345,0.0675
0.350,0.0672
0.355,0.0675
0.360,0.0678
0.365,0.0690
0.370,0.0690
0.375,0.0687
0.380,0.0687
0.385,0.0693
0.390,0.0693
0.395,0.0687
0.400,0.0684
0.405,0.0696
0.410,0.0693
0.415,0.0696
0.420,0.0693
0.425,0.0696
0.430,0.0690
0.435,0.0696
0.440,0.0690
0.445,0.0687
0.450,0.0681
0.455,0.0681
0.460,0.0681
0.465,0.0681
0.470,0.0669
0.475,0.0666
0.480,0.0660
0.485,0.0669
0.490,0.0660
0.495,0.0657
0.500,0.0654
0.505,0.0660
0.510,0.0657
0.515,0.0657
0.520,0.0651
0.525,0.0660
0.530,0.0651
0.535,0.0648
0.540,0.0645
0.545,0.0645
0.550,0.0642
0.555,0.0630
0.560,0.0624
0.565,0.0615
0.570,0.0602
0.575,0.0593
0.580,0.0584
0.585,0.0575
0.590,0.0572
0.595,0.0560
0.600,0.0554
0.605,0.0563
0.610,0.0554
0.615,0.0554
0.620,0.0554
0.625,0.0563
0.630,0.0563
0.635,0.0569
0.640,0.0572
0.645,0.0578
0.650,0.0578
0.655,0.0578
0.660,0.0578
0.665,0.0581
0.670,0.0578
0.675,0.0575
0.680,0.0563
0.685,0.0563
0.690,0.0551
0.695,0.0548
0.700,0.0545
0.705,0.0545
0.710,0.0536
0.715,0.0539
0.720,0.0545
0.725,0.0548
0.730,0.0554
0.735,0.0563
0.740,0.0575
0.745,0.0596
0.750,0.0605
0.755,0.0617
0.760,0.0627
0.765,0.0645
0.770,0.0654
0.775,0.0660
0.780,0.0666
0.785,0.0669
0.790,0.0669
0.795,0.0669
0.800,0.0666
0.805,0.0672
0.810,0.0663
0.815,0.0657
0.820,0.0660
0.825,0.0669
0.830,0.0660
0.835,0.0666
0.840,0.0669
0.845,0.0681
0.850,0.0675
0.855,0.0684
0.860,0.0684
0.865,0.0690
0.870,0.0681
0.875,0.0678
0.880,0.0669
0.885,0.0666
0.890,0.0642
0.895,0.0632
0.900,0.0615
0.905,0.0608
0.910,0.0584
0.915,0.0563
0.920,0.0545
0.925,0.0539
0.930,0.0515
0.935,0.0503
0.940,0.0491
0.945,0.0500
0.950,0.0482
0.955,0.0473
0.960,0.0473
0.965,0.0479
0.970,0.0461
0.975,0.0458
0.980,0.0452
0.985,0.0455
0.990,0.0446
0.995,0.0440
1.000,0.0437
1.005,0.0430
1.010,0.0418
1.015,0.0415
1.020,0.0410
1.025,0.0406
1.030,0.0400
1.035,0.0394
1.040,0.0394
1.045,0.0400
1.050,0.0391
1.055,0.0385
1.060,0.0385
1.065,0.0391
1.070,0.0382
1.075,0.0379
1.080,0.0373
1.085,0.0382
1.090,0.0370
1.095,0.0358
1.100,0.0349
1.105,0.0355
1.110,0.0343
1.115,0.0322
1.120,0.0319
1.125,0.0325
1.130,0.0307
1.135,0.0298
1.140,0.0289
1.145,0.0286
1.150,0.0277
1.155,0.0271
1.160,0.0262
1.165,0.0268
1.170,0.0256
1.175,0.0250
1.180,0.0250
1.185,0.0247
1.190,0.0238
1.195,0.0235
1.200,0.0232
1.205,0.0238
1.210,0.0226
1.215,0.0226
1.220,0.0220
1.225,0.0226
1.230,0.0213
1.235,0.0211
1.240,0.0208
1.245,0.0213
1.250,0.0211
1.255,0.0204
1.260,0.0196
1.265,0.0196
1.270,0.0196
1.275,0.0189
1.280,0.0186
1.285,0.0186
1.290,0.0177
1.295,0.0165
1.300,0.0159
1.305,0.0162
1.310,0.0150
1.315,0.0141
1.320,0.0135
1.325,0.0138
1.330,0.0126
1.335,0.0117
1.340,0.0111
1.345,0.0114
1.350,0.0102
1.355,0.0096
1.360,0.0090
1.365,0.0093
1.370,0.0084
1.375,0.0078
1.380,0.0072
1.385,0.0075
1.390,0.0066
1.395,0.0066
1.400,0.0060
1.405,0.0063
1.410,0.0054
1.415,0.0054
1.420,0.0051
1.425,0.0057
1.430,0.0048
1.435,0.0048
1.440,0.0045
1.445,0.0054
1.450,0.0048
1.455,0.0045
1.460,0.0045
1.465,0.0054
1.470,0.0048
1.475,0.0051
1.480,0.0048
1.485,0.0054
1.490,0.0048
1.495,0.0051
1.500,0.0054
1.505,0.0057
1.510,0.0054
1.515,0.0054
1.520,0.0057
1.525,0.0066
1.530,0.0063
1.535,0.0063
1.540,0.0066
1.545,0.0069
1.550,0.0063
1.555,0.0066
1.560,0.0072
1.565,0.0078
1.570,0.0075
1.575,0.0075
1.580,0.0078
1.585,0.0084
1.590,0.0087
1.595,0.0084
1.600,0.0090
1.605,0.0102
1.610,0.0099
1.615,0.0102
1.620,0.0102
1.625,0.0111
1.630,0.0102
1.635,0.0111
1.640,0.0114
1.645,0.0120
1.650,0.0117
1.655,0.0120
1.660,0.0126
1.665,0.0135
1.670,0.0135
1.675,0.0135
1.680,0.0135
1.685,0.0147
1.690,0.0144
1.695,0.0147
1.700,0.0150
1.705,0.0159
1.710,0.0153
1.715,0.0159
1.720,0.0162
1.725,0.0174
1.730,0.0168
1.735,0.0168
1.740,0.0177
1.745,0.0189
1.750,0.0177
1.755,0.0186
1.760,0.0186
1.765,0.0198
1.770,0.0198
1.775,0.0198
1.780,0.0204
1.785,0.0211
1.790,0.0211
1.795,0.0211
1.800,0.0211
1.805,0.0220
1.810,0.0216
1.815,0.0213
1.820,0.0216
1.825,0.0226
1.830,0.0223
1.835,0.0220
1.840,0.0216
1.845,0.0229
1.850,0.0226
1.855,0.0232
1.860,0.0232
1.865,0.0235
1.870,0.0235
1.875,0.0235
1.880,0.0235
1.885,0.0244
1.890,0.0235
1.895,0.0235
1.900,0.0232
1.905,0.0241
1.910,0.0238
1.915,0.0232
1.920,0.0238
1.925,0.0241
1.930,0.0238
1.935,0.0235
1.940,0.0235
1.945,0.0247
1.950,0.0241
1.955,0.0247
1.960,0.0247
1.965,0.0250
1.970,0.0247
1.975,0.0250
1.980,0.0250
1.985,0.0259
1.990,0.0253
1.995,0.0253
2.000,0.0256
2.005,0.0265
2.010,0.0262
2.015,0.0262
2.020,0.0268
2.025,0.0280
