"Time","Current"
0.000,0.0108
0.005,0.0102
0.010,0.0105
0.015,0.0102
0.020,0.0102
0.025,0.0105
0.030,0.0105
0.035,0.0102
0.040,0.0105
0.045,0.0096
0.050,0.0102
0.055,0.0102
0.060,0.0105
0.065,0.0099
0.070,0.0105
0.075,0.0099
0.080,0.0099
0.085,0.0102
0.090,0.0102
0.095,0.0102
0.100,0.0102
0.105,0.0096
0.110,0.0105
0.115,0.0102
0.120,0.0102
0.125,0.0102
0.130,0.0111
0.135,0.0102
0.140,0.0108
0.145,0.0102
0.150,0.0108
0.155,0.0102
0.160,0.0105
0.165,0.0096
0.170,0.0105
0.175,0.0105
0.180,0.0108
0.185,0.0102
0.190,0.0108
0.195,0.0108
0.200,0.0102
0.205,0.0102
0.210,0.0111
0.215,0.0105
0.220,0.0105
0.225,0.0102
0.230,0.0111
0.235,0.0102
0.240,0.0105
0.245,0.0102
0.250,0.0105
0.255,0.0102
0.260,0.0111
0.265,0.0102
0.270,0.0108
0.275,0.0105
0.280,0.0102
0.285,0.0102
0.290,0.0114
0.295,0.0105
0.300,0.0105
0.305,0.0105
0.310,0.0114
0.315,0.0105
0.320,0.0108
0.325,0.0111
0.330,0.0114
0.335,0.0105
0.340,0.0105
0.345,0.0108
0.350,0.0111
0.355,0.0111
0.360,0.0111
0.365,0.0105
0.370,0.0111
0.375,0.0105
0.380,0.0111
0.385,0.0111
0.390,0.0114
0.395,0.0111
0.400,0.0111
0.405,0.0108
0.410,0.0117
0.415,0.0111
0.420,0.0114
0.425,0.0105
0.430,0.0117
0.435,0.0111
0.440,0.0114
0.445,0.0108
0.450,0.0114
0.455,0.0111
0.460,0.0105
0.465,0.0114
0.470,0.0114
0.475,0.0108
0.480,0.0108
0.485,0.0108
0.490,0.0117
0.495,0.0108
0.500,0.0114
0.505,0.0102
0.510,0.0114
0.515,0.0111
0.520,0.0111
0.525,0.0108
0.530,0.0114
0.535,0.0114
0.540,0.0114
0.545,0.0114
0.550,0.0117
0.555,0.0111
0.560,0.0114
0.565,0.0108
0.570,0.0117
0.575,0.0114
0.580,0.0120
0.585,0.0114
0.590,0.0117
0.595,0.0117
0.600,0.0117
0.605,0.0117
0.610,0.0120
0.615,0.0117
0.620,0.0117
0.625,0.0117
0.630,0.0117
0.635,0.0120
0.640,0.0123
0.645,0.0120
0.650,0.0126
0.655,0.0126
0.660,0.0123
0.665,0.0120
0.670,0.0129
0.675,0.0129
0.680,0.0126
0.685,0.0120
0.690,0.0129
0.695,0.0126
0.700,0.0126
0.705,0.0117
0.710,0.0129
0.715,0.0126
0.720,0.0123
0.725,0.0120
0.730,0.0135
0.735,0.0129
0.740,0.0126
0.745,0.0129
0.750,0.0138
0.755,0.0132
0.760,0.0129
0.765,0.0126
0.770,0.0135
0.775,0.0129
0.780,0.0135
0.785,0.0126
0.790,0.0135
0.795,0.0129
0.800,0.0129
0.805,0.0126
0.810,0.0132
0.815,0.0129
0.820,0.0126
0.825,0.0129
0.830,0.0129
0.835,0.0126
0.840,0.0132
0.845,0.0123
0.850,0.0129
0.855,0.0129
0.860,0.0123
0.865,0.0129
0.870,0.0135
0.875,0.0129
0.880,0.0132
0.885,0.0126
0.890,0.0132
0.895,0.0129
0.900,0.0135
0.905,0.0129
0.910,0.0138
0.915,0.0132
0.920,0.0141
0.925,0.0135
0.930,0.0141
0.935,0.0138
0.940,0.0141
0.945,0.0135
0.950,0.0138
0.955,0.0141
0.960,0.0138
0.965,0.0138
0.970,0.0144
0.975,0.0141
0.980,0.0147
0.985,0.0141
0.990,0.0150
0.995,0.0144
1.000,0.0144
1.005,0.0150
1.010,0.0150
1.015,0.0144
1.020,0.0147
1.025,0.0144
1.030,0.0150
1.035,0.0150
1.040,0.0150
1.045,0.0144
1.050,0.0147
1.055,0.0150
1.060,0.0150
1.065,0.0150
1.070,0.0153
1.075,0.0153
1.080,0.0153
1.085,0.0147
1.090,0.0150
1.095,0.0162
1.100,0.0156
1.105,0.0162
1.110,0.0162
1.115,0.0165
1.120,0.0168
1.125,0.0174
1.130,0.0180
1.135,0.0180
1.140,0.0183
1.145,0.0183
1.150,0.0186
1.155,0.0186
1.160,0.0192
1.165,0.0186
1.170,0.0192
1.175,0.0189
1.180,0.0189
1.185,0.0189
1.190,0.0198
1.195,0.0198
1.200,0.0192
1.205,0.0189
1.210,0.0196
1.215,0.0189
1.220,0.0198
1.225,0.0186
1.230,0.0192
1.235,0.0189
1.240,0.0196
1.245,0.0198
1.250,0.0201
1.255,0.0198
1.260,0.0198
1.265,0.0198
1.270,0.0208
1.275,0.0204
1.280,0.0213
1.285,0.0213
1.290,0.0226
1.295,0.0229
1.300,0.0235
1.305,0.0235
1.310,0.0232
1.315,0.0226
1.320,0.0216
1.325,0.0211
1.330,0.0208
1.335,0.0198
1.340,0.0198
1.345,0.0189
1.350,0.0196
1.355,0.0192
1.360,0.0198
1.365,0.0198
1.370,0.0208
1.375,0.0213
1.380,0.0216
1.385,0.0213
1.390,0.0226
1.395,0.0220
1.400,0.0216
1.405,0.0211
1.410,0.0211
1.415,0.0211
1.420,0.0226
1.425,0.0235
1.430,0.0247
1.435,0.0250
1.440,0.0247
1.445,0.0253
1.450,0.0262
1.455,0.0262
1.460,0.0265
1.465,0.0259
1.470,0.0259
1.475,0.0256
1.480,0.0259
1.485,0.0256
1.490,0.0259
1.495,0.0259
1.500,0.0250
1.505,0.0247
1.510,0.0259
1.515,0.0253
1.520,0.0271
1.525,0.0262
1.530,0.0259
1.535,0.0250
1.540,0.0259
1.545,0.0256
1.550,0.0265
1.555,0.0259
1.560,0.0256
1.565,0.0259
1.570,0.0271
1.575,0.0247
1.580,0.0235
1.585,0.0232
1.590,0.0250
1.595,0.0262
1.600,0.0274
1.605,0.0253
1.610,0.0247
1.615,0.0238
1.620,0.0247
1.625,0.0265
1.630,0.0271
1.635,0.0271
1.640,0.0259
1.645,0.0247
1.650,0.0256
1.655,0.0253
1.660,0.0256
1.665,0.0238
1.670,0.0241
1.675,0.0235
1.680,0.0238
1.685,0.0238
1.690,0.0256
1.695,0.0256
1.700,0.0259
1.705,0.0259
1.710,0.0274
1.715,0.0265
1.720,0.0262
1.725,0.0256
1.730,0.0265
1.735,0.0256
1.740,0.0256
1.745,0.0247
1.750,0.0247
1.755,0.0232
1.760,0.0235
1.765,0.0232
1.770,0.0247
1.775,0.0238
1.780,0.0241
1.785,0.0241
1.790,0.0250
1.795,0.0235
1.800,0.0241
1.805,0.0238
1.810,0.0250
1.815,0.0235
1.820,0.0232
1.825,0.0235
1.830,0.0250
1.835,0.0247
1.840,0.0241
1.845,0.0235
1.850,0.0235
1.855,0.0226
1.860,0.0229
1.865,0.0216
1.870,0.0232
1.875,0.0220
1.880,0.0220
1.885,0.0213
1.890,0.0232
1.895,0.0220
1.900,0.0223
1.905,0.0213
1.910,0.0235
1.915,0.0223
1.920,0.0226
1.925,0.0223
1.930,0.0232
1.935,0.0223
1.940,0.0213
1.945,0.0204
1.950,0.0213
1.955,0.0192
1.960,0.0183
1.965,0.0180
1.970,0.0189
1.975,0.0171
1.980,0.0174
1.985,0.0174
1.990,0.0189
1.995,0.0168
2.000,0.0162
2.005,0.0162
2.010,0.0168
2.015,0.0162
2.020,0.0168
2.025,0.0165
2.030,0.0183
2.035,0.0174
2.040,0.0177
2.045,0.0171
2.050,0.0177
2.055,0.0171
2.060,0.0183
2.065,0.0180
2.070,0.0183
2.075,0.0174
2.080,0.0177
2.085,0.0177
2.090,0.0180
2.095,0.0180
2.100,0.0177
2.105,0.0174
2.110,0.0186
2.115,0.0180
2.120,0.0180
2.125,0.0171
2.130,0.0168
2.135,0.0165
2.140,0.0165
2.145,0.0162
2.150,0.0174
2.155,0.0162
2.160,0.0162
2.165,0.0159
2.170,0.0162
2.175,0.0159
2.180,0.0162
2.185,0.0153
2.190,0.0162
2.195,0.0156
2.200,0.0159
